CDIM:       161
SDIM:       105
      0.78720050E+01     -0.87141782E-01      0.16170914E+01
      0.79163270E+01     -0.87743193E-01      0.16105065E+01
      0.79606252E+01     -0.88266164E-01      0.16036061E+01
      0.80049076E+01     -0.88710122E-01      0.15963709E+01
      0.80491838E+01     -0.89076288E-01      0.15887990E+01
      0.80934610E+01     -0.89366294E-01      0.15808905E+01
      0.81377668E+01     -0.89630030E-01      0.15730100E+01
      0.81821108E+01     -0.89902043E-01      0.15654151E+01
      0.82264891E+01     -0.90182126E-01      0.15581067E+01
      0.82708979E+01     -0.90469956E-01      0.15510842E+01
      0.83153296E+01     -0.90762660E-01      0.15443188E+01
      0.83597698E+01     -0.91044143E-01      0.15376341E+01
      0.84042168E+01     -0.91312073E-01      0.15310025E+01
      0.84486666E+01     -0.91566786E-01      0.15244248E+01
      0.84931202E+01     -0.91806620E-01      0.15178910E+01
      0.85375748E+01     -0.92022195E-01      0.15112723E+01
      0.85820379E+01     -0.92185967E-01      0.15042990E+01
      0.86265144E+01     -0.92300154E-01      0.14969774E+01
      0.86710167E+01     -0.92365265E-01      0.14893047E+01
      0.87155647E+01     -0.92389666E-01      0.14813268E+01
      0.87601519E+01     -0.92481636E-01      0.14737482E+01
      0.88047638E+01     -0.92674240E-01      0.14667945E+01
      0.88493919E+01     -0.92965223E-01      0.14604661E+01
      0.88940182E+01     -0.93352124E-01      0.14547657E+01
      0.89386539E+01     -0.93793847E-01      0.14494696E+01
      0.89833488E+01     -0.94192296E-01      0.14439969E+01
      0.90281124E+01     -0.94543487E-01      0.14383109E+01
      0.90729475E+01     -0.94847858E-01      0.14324043E+01
      0.91177959E+01     -0.95104903E-01      0.14262817E+01
      0.91626263E+01     -0.95302314E-01      0.14200139E+01
      0.92074289E+01     -0.95434897E-01      0.14136425E+01
      0.92522011E+01     -0.95504642E-01      0.14071681E+01
      0.92969284E+01     -0.95513269E-01      0.14005955E+01
      0.93416224E+01     -0.95474496E-01      0.13938974E+01
      0.93863020E+01     -0.95444098E-01      0.13869420E+01
      0.94309673E+01     -0.95429599E-01      0.13797005E+01
      0.94756241E+01     -0.95431641E-01      0.13721563E+01
      0.95096846E+01     -0.95444515E-01      0.13661876E+01
      0.95356741E+01     -0.95464028E-01      0.13614595E+01
      0.95555067E+01     -0.95487744E-01      0.13577056E+01
      0.95706453E+01     -0.95510408E-01      0.13547655E+01
      0.95821905E+01     -0.95530085E-01      0.13524840E+01
      0.95910006E+01     -0.95546432E-01      0.13507212E+01
      0.95977259E+01     -0.95559619E-01      0.13493642E+01
      0.96028509E+01     -0.95570065E-01      0.13483231E+01
      0.96067572E+01     -0.95578276E-01      0.13475260E+01
      0.96097393E+01     -0.95584653E-01      0.13469155E+01
      0.96120129E+01     -0.95589601E-01      0.13464487E+01
      0.96137466E+01     -0.95593415E-01      0.13460917E+01
      0.96150703E+01     -0.95596343E-01      0.13458191E+01
      0.96160803E+01     -0.95598601E-01      0.13456107E+01
      0.96168509E+01     -0.95600322E-01      0.13454518E+01
      0.96174374E+01     -0.95601656E-01      0.13453304E+01
      0.96178856E+01     -0.95602661E-01      0.13452377E+01
      0.96182280E+01     -0.95603429E-01      0.13451670E+01
      0.96184893E+01     -0.95604010E-01      0.13451132E+01
      0.96186886E+01     -0.95604472E-01      0.13450720E+01
      0.96188402E+01     -0.95604815E-01      0.13450406E+01
      0.96189556E+01     -0.95605083E-01      0.13450166E+01
      0.96190739E+01     -0.95605351E-01      0.13449922E+01
      0.96192646E+01     -0.95605783E-01      0.13449527E+01
      0.96195745E+01     -0.95606484E-01      0.13448883E+01
      0.96200781E+01     -0.95607631E-01      0.13447841E+01
      0.96208944E+01     -0.95609501E-01      0.13446150E+01
      0.96222191E+01     -0.95612548E-01      0.13443401E+01
      0.96243706E+01     -0.95617525E-01      0.13438934E+01
      0.96265202E+01     -0.95622577E-01      0.13434458E+01
      0.96286716E+01     -0.95627658E-01      0.13429973E+01
      0.96308222E+01     -0.95632747E-01      0.13425488E+01
